,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
0,European Parliament,,178362315106,Facebook,100k_200k,100k - 200k,CY,Cyprus,5,1,612481,306242,6559,1631
1,AKEL Türkçe,ΑΚΕΛ - AKEL,811609932267686,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,399224,199613,996,199
2,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,117799504920552,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199999,100000,499,100
3,Prof. Dr. Niyazi Kızılyürek,Niyazi Kızılyürek,878208312216203,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199999,100000,499,100
4,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,,620027974738907,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199991,99996,498,99
5,Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή,,831939610501208,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199920,99960,498,99
6,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,404386316397983,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199668,99834,98,0
7,Power Beach,,484571345318227,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,199485,99743,98,0
8,γυρίζουμε,,278308089460720,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,139306,69653,347,69
9,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,82362291274,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,97762,48881,243,48
10,Socialists and Democrats Group in the European Parliament,,127925800618165,Facebook,100k_200k,100k - 200k,CY,Cyprus,10,1,71561,35780,123,21
11,EPP - European People's Party,EPP - European People's Party,48034275355,Facebook,100k_200k,100k - 200k,CY,Cyprus,9,1,70960,35480,121,21
12,VoteWatch Europe,,355087424564148,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,44667,22333,111,22
13,ETUC,,129041250601685,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,24162,12081,60,12
14,EPP Group in the European Parliament,,291699857688,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,20034,10017,49,10
15,ALDE Party – Liberals and Democrats for Europe,,262681199589,Facebook,100k_200k,100k - 200k,CY,Cyprus,6,1,19120,9560,62,21
16,Create.Refresh,Create.Refresh,1736881926615141,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,14182,7091,40,8
17,Hoxton Capital Management,,353185345195139,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,13338,6669,38,7
18,Council of the European Union,,147547541961576,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,9224,4612,23,4
19,European Youth Event,,919232861444360,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,8944,4472,22,4
20,European Greens,,141366725876424,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,7663,3832,19,3
21,European Commission,,107898832590939,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,7402,3701,18,3
22,Europeana.eu,,10261403667,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,7086,3543,3,0
23,Council of Europe - Directorate General Human Rights and Rule of Law,,315160671967064,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,5635,2817,2,0
24,European Commission - Development & Cooperation - EuropeAid,,287842647957979,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,4106,2053,2,0
25,European Youth,,130456876990360,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,2891,1445,7,1
26,eToro,,193863317737,Facebook,100k_200k,100k - 200k,CY,Cyprus,5,1,2079,1039,4,0
27,Melba Culp,,902971599738051,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,719,360,1,0
28,World Bank,,153371894688575,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,633,316,1,0
29,Matthew Hussey,,525275707491504,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,375,188,1,0
30,Feminist Apparel,,147698828729567,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,355,177,1,0
31,Centre of Excellence,,761616163858631,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,337,168,0,0
32,The Freeing Energy Project,,164660287630560,Facebook,100k_200k,100k - 200k,CY,Cyprus,3,1,242,121,0,0
33,Banque mondiale,,155174084508744,Facebook,100k_200k,100k - 200k,CY,Cyprus,4,1,207,103,0,0
34,SV4IE,,2246467545588430,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,193,96,0,0
35,Metro Weekly,,20219882434,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,165,82,0,0
36,Your Everyday Korean,,1446749008800347,Facebook,100k_200k,100k - 200k,CY,Cyprus,3,1,149,74,0,0
37,Journal des Français à l'étranger,,1193690844094654,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,137,68,0,0
38,SBS Australia,,68043178685,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,114,57,0,0
39,The Charity for Civil Servants,,216978845071240,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,92,46,2,0
40,ICLEI Southeast Asia Secretariat,,259604814084046,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,90,45,0,0
41,eToro,,105255116217636,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,85,43,1,0
42,Verv,,560545637307176,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,41,20,0,0
43,国际特赦组织中文 Amnesty International Chinese,,570175473079180,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,31,16,0,0
44,LIQUI MOLY,,120751477970543,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,29,14,0,0
45,Milaap,,315603771494,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,28,14,0,0
46,Nelson Mandela World Human Rights Moot Court Competition,,492134250862044,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,11,5,0,0
47,The University of Melbourne,,21591025194,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,10,5,0,0
48,Seaqual Friends,,2009782872619352,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,9,4,0,0
49,Gul Ahmed,,312754697664,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,7,3,0,0
50,Atta Arghandiwal,,391248941257129,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,5,2,0,0
51,S&P Global,,112495188784373,Facebook,100k_200k,100k - 200k,CY,Cyprus,2,1,4,2,0,0
52,Dorje Shugden,,124479407593558,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,2,1,0,0
53,Humble Household,,1746853745395190,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,1,0,0,0
54,Zero Waste Produce Bags,,195587574474388,Facebook,100k_200k,100k - 200k,CY,Cyprus,1,1,1,0,0,0
