,col0,col1,col2,col3,col4
0,219,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el Estado debe hacer público los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
1,597,3,promoción_de_los_derechos_fundamentales,A,"El estado debe promover los derechos fundamentales, principalmente mediante la educación cívica."
2,997,3,promoción_de_los_derechos_fundamentales,A,El estado debe hacer público los derechos fundamentales y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos.
3,1392,3,promoción_de_los_derechos_fundamentales,A,Creemos que el Estado debe hacer público los derechos fundamentales y educar a los miembros de la sociedad.
4,1396,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el estado debe hacer público los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
5,1857,3,promoción_de_los_derechos_fundamentales,A,Creemos que el estado debe hacer público los derechos fundamentales y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección a estos derechos.
6,2388,3,promoción_de_los_derechos_fundamentales,A,Educar a los miembros con dichos derechos.
7,2654,3,promoción_de_los_derechos_fundamentales,A,Es básico que para conocer los derechos fundamentales el estado debe educar y promoción su contenido y aplicación.
8,2735,3,promoción_de_los_derechos_fundamentales,A,el estado debe hacer públicos los derechos fundamentales y educar a la sociedad en esta materia y en la protección de estos derechos.
9,4540,3,promoción_de_los_derechos_fundamentales,A,que el Estado haga público los derechos fundamentales.
10,4732,3,promoción_de_los_derechos_fundamentales,A,Debe haber una promoción y publicación de estos derechos para el conocimiento de ellos.
11,5081,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el Estado debe hacer públicos los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
12,7076,3,promoción_de_los_derechos_fundamentales,A,Creemos debe el estado hacer público los derechos fundamentales y con ello promoverlos.
13,7411,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el Estado debe hacer públicos los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
14,8784,3,promoción_de_los_derechos_fundamentales,A,Creemos que el estado debe hacer públicos los derechos fundamentales y educar a la sociedad sobre su existencia.
15,9035,3,promoción_de_los_derechos_fundamentales,A,Que el Estado haga público los derechos fundamentales.
16,9183,3,promoción_de_los_derechos_fundamentales,A,Se deben dar a conocer de manera pública los derechos fundamentales.
17,9325,3,promoción_de_los_derechos_fundamentales,A,Educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos.
18,10019,3,promoción_de_los_derechos_fundamentales,A,fundamentar a todos para educar y formar a la sociedad.
19,10095,3,promoción_de_los_derechos_fundamentales,A,Como ciudadanos debemos saber nuestra obligación y derecho se puede informar en la educación y en las aulas educativas.
20,10774,3,promoción_de_los_derechos_fundamentales,A,Que toda la ciudadanía esté debidamente informada de este derecho fundamental - protegido:  - La vida - libertad - justicia - respeto - seguridad-
21,11763,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el Estado debe hacer público los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos fundamentales."
22,11963,3,promoción_de_los_derechos_fundamentales,A,"El estado debe hacer público los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
23,12302,3,promoción_de_los_derechos_fundamentales,A,Creemos que el Estado debe hacer público los derechos fundamentales y educar a los miembros.
24,12622,3,promoción_de_los_derechos_fundamentales,A,"Es Estado debe hacer público los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
25,12785,3,promoción_de_los_derechos_fundamentales,A,Publicitar y educar sobre los derchos fundamentales y sus protecciones a cada ciudadanos o habitante de nuestra nación.
26,12794,3,promoción_de_los_derechos_fundamentales,A,Más educación en este ámbito ya que muchas cosas desconocemos.
27,12928,3,promoción_de_los_derechos_fundamentales,A,El estado debe proporcionar información sobre los derechos fundamentales educando a los miembros sobre ese derecho.
28,13185,3,promoción_de_los_derechos_fundamentales,A,Como sociedad necesitamos saber cuales son los mecanismos o leyes que protegen nuestros derechos.
29,13708,3,promoción_de_los_derechos_fundamentales,A,Creemos que el Estado debe hacer público los derechos fundamentales y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos.
30,13750,3,promoción_de_los_derechos_fundamentales,A,Creemos que debe hacerse público y educar a la sociedad sobre los derechos fundamentales.
31,14600,3,promoción_de_los_derechos_fundamentales,A,Deber del estado; publicitar y educar a la sociedad sobre los derechos que solo por ser persona detentan.
32,15352,3,promoción_de_los_derechos_fundamentales,A,"Creemos que el Estado debe hacer públicos los derechos fundamentales, y educar a los miembros de la sociedad sobre la existencia y mecanismos de protección de estos derechos."
